"INDEX","CALLDAY","CALLTIME","CUSTPAPERTYPE","CUSTSEX","AGE","IMPORTANCEGRADE","R","F","M","Duration","MAXAMOUNT","SDAMOUNT","BUSINESSTYPE","AGENCYTYPE","AGENCYNUM","FUNDNUM","MONEYFUND","BONDFUND","STOCKFUND","hs300index","growthrate5","growthrate22","全部总投入","全部收益","收益比"
0,"星期二","上午","00","1",44,"02",75,132,2671.34931818182,5290,136103.14,0.560708322419822,"定投","非直销",1,1,"无","无","有",3063.5556,-0.00728098467384361,-0.030705435256617,141200,72359.31,0.512459702549575
0,"星期一","上午","00","1",82,"01",325,52,9576.02596153846,5295,73801.82,0.817077069395689,"非定投","直销",4,8,"有","无","有",3066.7095,-0.00664448383619902,-0.031335674267501,232102.9,92964.58,0.40053174691053
0,"星期二","上午","00","1",49,"02",328,19,15404.3852631579,5295,103903.45,0.402813999160205,"非定投","非直销",1,3,"无","无","有",3169.5598,0.0346016896184289,0.00284090181017042,105150,162020.63,1.54085240133143
0,"星期三","下午","00","1",64,"02",336,30,41316.7706666667,5296,180015.79,1.15531169825825,"非定投","非直销",3,3,"无","无","有",3160.547,0.0331198490441651,0.00120437345416326,410001.38,434050.92,1.05865721720254
0,"星期四","上午","00","1",45,"04",15,476,70139.4101260504,5283,2094865.72,0.475477122999703,"定投","直销",6,18,"有","有","有",3062.5002,-0.00894361583686322,-0.0514032246588932,15409748.73,1846763.08832,0.119843815799844
0,"星期二","下午","00","0",42,"01",328,84,1500.71916666667,5293,34866.07,0.345618827066088,"定投","非直销",2,3,"有","无","有",3169.5598,0.0346016896184289,0.00284090181017042,57300,12099.23,0.211155846422339
0,"星期一","上午","00","0",50,"01",325,83,7336.72012048193,5289,147840,0.44344648552281,"定投","非直销",1,6,"无","无","有",3066.7095,-0.00664448383619902,-0.031335674267501,208045.66,250393.42,1.20355031679104
0,"星期五","上午","00","0",54,"01",343,32,10522.8528125,5292,49803.17,0.982711979320767,"非定投","非直销",3,5,"无","无","有",3189.3255,0.0414126462004416,-0.00627391873290647,107258.11,123085.79,1.14756627727265
0,"星期三","下午","00","0",43,"02",334,22,69210.2177272727,5289,192679.08,0.436645426029959,"非定投","非直销",2,6,"有","无","有",3160.547,0.0331198490441651,0.00120437345416326,642701,118632.23,0.184583857812575
0,"星期一","上午","00","0",45,"01",19,340,26812.0462058824,5252,838681.33,0.283501801558821,"定投","直销",2,11,"有","无","有",3162.0331,-0.0205733203929771,-0.0228854095760677,4476663.48,262299.11,0.0585925458037779
0,"星期五","下午","00","0",63,"01",303,50,9406.653,5283,125800,0.383129785351405,"非定投","非直销",3,5,"有","无","有",3062.4993,-0.00510652542089041,-0.0366955993571259,214007.2,42584.74,0.198987417245775
0,"星期五","上午","00","1",63,"02",291,81,3266.82666666667,5283,29254.33,2.12183390796671,"非定投","非直销",1,3,"无","无","有",3062.4993,-0.00510652542089041,-0.0366955993571259,54702.04,157165.01,2.87311058234757
0,"星期三","上午","00","0",38,"01",330,113,1061.01415929204,5288,20678.91,0.5216383291763,"定投","非直销",2,3,"无","无","有",3160.547,0.0331198490441651,0.00120437345416326,50800,21476.84,0.422772440944882
0,"星期五","下午","00","1",42,"01",10,146,43129.4406164384,5246,626156.81,0.201377777022125,"非定投","直销",5,6,"有","无","有",3174.9012,-0.0297365510654238,-0.0157756999889299,3141660.23,13677.87,0.00435370759364389
0,"星期一","上午","00","0",53,"01",353,17,19511.9947058824,5290,116000,0.674548825333155,"非定投","非直销",1,3,"无","无","有",3178.7883,0.0365469243174159,-0.0109310751646299,134803.31,168056.82,1.24668170240033
0,"星期五","上午","00","1",37,"01",8,319,21371.032507837,5245,419568.26,0.216680309007351,"定投","直销",3,10,"有","有","有",3174.9012,-0.0297365510654238,-0.0157756999889299,3176304.95,167863.19,0.0528485748825849
0,"星期二","下午","00","1",34,"01",328,71,4268.79507042253,5284,103787.92,0.194746749917238,"定投","非直销",1,3,"有","无","有",3169.5598,0.0346016896184289,0.00284090181017042,139651,29904.02,0.21413394819944
0,"星期二","上午","00","0",74,"03",328,22,30746.3859090909,5284,164470.3,0.475560717898296,"非定投","非直销",3,3,"无","无","有",3169.5598,0.0346016896184289,0.00284090181017042,264980.35,146969.84,0.554644297209208
